key,databaseFilmTitle,FilmTitle,AlternateTitle,ARR_TitleArray,Year,Director,ARR_DirectorArray,Country,ARR_CountryArray,1952rank,1952votes,1962rank,1962votes,1972rank,1972votes,1982rank,1982votes,1992rank,1992votes,2002rank,2002votes,2012rank,2012votes,2022rank,2022votes
1,¡Que viva Mexico!,¡Que viva Mexico!,,¡Que viva Mexico!,1932,"Sergei Eisenstein, Grigori Aleksandrov",Sergei Eisenstein; Grigori Aleksandrov,Soviet Union,Soviet Union; United States,16,8,47,2,,0,,0,,0,,0,,0,,0
2,¡Vivan las Antipodas!,¡Vivan las Antipodas!,,¡Vivan las Antipodas!,2011,Victor Kossakovsky,Victor Kossakovsky,"Germany, Argentina",Germany; Argentina,,0,,0,,0,,0,,0,,0,,0,1652,1
3,...A Valparaíso,...A Valparaíso,,...A Valparaíso,1963,Joris Ivens,Joris Ivens,"France, Chile",France; Chile,,0,,0,,0,217,1,,0,,0,,0,,0
4,...All the Marbles,...All the Marbles,,...All the Marbles,1982,Robert Aldrich,Robert Aldrich,United States,United States,,0,,0,,0,,0,,0,,0,,0,1105,2
5,[Enema Medley],[Enema Medley],selection from V'14 Revolutions in 16MM,[Enema Medley]; selection from V'14 Revolutions in 16MM,1970,N/A,N/A,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
6,10,10,,10,1979,Blake Edwards,Blake Edwards,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
7,"1126 Dewey Avenue, Apt. 207","1126 Dewey Avenue, Apt. 207",,"1126 Dewey Avenue, Apt. 207",1939,John C. Hecker,John C. Hecker,United States,United States,,0,,0,,0,,0,,0,,0,899,1,,0
8,12 Angry Men,12 Angry Men,,12 Angry Men,1957,Sidney Lumet,Sidney Lumet,United States,United States,,0,,0,,0,,0,,0,,0,899,1,1105,2
9,12 Monkeys,12 Monkeys,,12 Monkeys,1995,Terry Gilliam,Terry Gilliam,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
10,12 Years a Slave,12 Years a Slave,,12 Years a Slave,2013,Steve McQueen,Steve McQueen,"United States, United Kingdom",United States; United Kingdom,,0,,0,,0,,0,,0,,0,,0,846,3
11,13 Lakes,13 Lakes,,13 Lakes,2004,James Benning,James Benning,United States,United States,,0,,0,,0,,0,,0,,0,449,3,1105,2
12,13th,13th,,13th,2016,Ava DuVernay,Ava DuVernay,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
13,1900,1900,Novecento,1900; Novecento,1976,Bernardo Bertolucci,Bernardo Bertolucci,"Italy, France",Italy; France,,0,,0,,0,80,3,,0,227,1,899,1,846,3
14,1917,1917,,1917,2019,Sam Mendes,Sam Mendes,"United States, United Kingdom",United States; United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
15,2 Days in Paris,2 Days in Paris,,2 Days in Paris,2007,Julie Delpy,Julie Delpy,"France, Germany",France; Germany,,0,,0,,0,,0,,0,,0,,0,1652,1
16,2 into 1,2 into 1,,2 into 1,1997,Gillian Wearing,Gillian Wearing,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,899,1,,0
17,2 or 3 Things I Know About Her,2 or 3 Things I Know About Her,,2 or 3 Things I Know About Her,1967,Jean-Luc Godard,Jean-Luc Godard,France,France,,0,,0,87,2,56,4,41,5,46,5,102,16,462,6
18,20 Feet from Stardom,20 Feet from Stardom,,20 Feet from Stardom,2013,Morgan Neville,Morgan Neville,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
19,2001: A Space Odyssey,2001: A Space Odyssey,,2001: A Space Odyssey,1969,Stanley Kubrick,Stanley Kubrick,"United Kingdom, United States",United Kingdom; United States,,0,,0,18,7,12,10,10,14,5,21,6,90,6,130
20,2046,2046,,2046,2004,Wong Kar Wai,Wong Kar Wai,Hong Kong,Hong Kong,,0,,0,,0,,0,,0,,0,449,3,1105,2
21,20th Century Women,20th Century Women,,20th Century Women,2016,Mike Mills,Mike Mills,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
22,21 Grams,21 Grams,,21 Grams,2003,Alejandro González Iñárritu,Alejandro González Iñárritu,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
23,23rd Psalm Branch,23rd Psalm Branch,,23rd Psalm Branch,1968,Stan Brakhage,Stan Brakhage,United States,United States,,0,,0,,0,,0,,0,,0,899,1,,0
24,24 Frames,24 Frames,,24 Frames,2017,Abbas Kiarostami,Abbas Kiarostami,Iran,Iran,,0,,0,,0,,0,,0,,0,,0,1652,1
25,24 Hour Party People,24 Hour Party People,,24 Hour Party People,2002,Michael Winterbottom,Michael Winterbottom,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,899,1,,0
26,24 Hour Psycho,24 Hour Psycho,,24 Hour Psycho,1993,"Douglas Gordon, Alfred Hitchcock",Douglas Gordon; Alfred Hitchcock,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
27,25 Fireman's Street,25 Fireman's Street,Tüzoltó utca 25.,25 Fireman's Street; Tüzoltó utca 25.,1973,István Szabó,István Szabó,Hungary,Hungary,,0,,0,,0,217,1,,0,,0,,0,,0
28,25th Hour,25th Hour,,25th Hour,2002,Spike Lee,Spike Lee,United States,United States,,0,,0,,0,,0,,0,,0,,0,846,3
29,28 Days Later,28 Days Later,,28 Days Later,2002,Danny Boyle,Danny Boyle,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
